Type,Amount,Date,Description,DuesPaymentID,TicketID,SponsorID,ProductionID
E,387.73,2025-04-25,Transaction 1,1,1,1,1
E,153.37,2025-08-27,Transaction 2,2,2,2,2
I,195.92,2025-10-09,Transaction 3,3,3,3,3
E,125.83,2025-07-10,Transaction 4,4,4,4,4
E,156.99,2025-10-24,Transaction 5,5,5,5,5
I,458.68,2025-05-07,Transaction 6,6,6,6,6
E,280.71,2025-11-09,Transaction 7,7,7,7,7
I,251.57,2025-06-24,Transaction 8,8,8,8,8
E,242.01,2025-10-12,Transaction 9,9,9,9,9
E,154.00,2025-09-15,Transaction 10,10,10,10,10
I,305.40,2026-02-18,Transaction 11,11,11,11,11
E,210.75,2026-05-21,Transaction 12,12,12,12,12
I,430.10,2026-08-30,Transaction 13,13,13,13,13
E,170.89,2026-10-14,Transaction 14,14,14,14,14
E,120.50,2027-01-25,Transaction 15,15,15,15,15
I,490.67,2027-04-30,Transaction 16,16,16,16,16
E,305.99,2027-06-12,Transaction 17,17,17,17,17
I,278.45,2027-09-20,Transaction 18,18,18,18,18
E,365.32,2028-01-05,Transaction 19,19,19,19,19
I,415.78,2028-03-14,Transaction 20,20,20,20,20
E,289.10,2028-06-28,Transaction 21,21,21,21,21
I,500.25,2028-08-17,Transaction 22,22,22,22,22
E,155.90,2028-11-10,Transaction 23,23,23,23,23
I,330.40,2029-02-21,Transaction 24,24,24,24,24
E,190.67,2029-05-09,Transaction 25,25,25,25,25
I,410.78,2029-07-12,Transaction 26,26,26,26,26
E,325.60,2029-10-24,Transaction 27,27,27,27,27
I,375.45,2030-01-18,Transaction 28,28,28,28,28
E,220.50,2030-03-29,Transaction 29,29,29,29,29
I,495.32,2030-06-14,Transaction 30,30,30,30,30
E,310.99,2030-09-25,Transaction 31,31,31,31,31
I,460.78,2030-12-19,Transaction 32,32,32,32,32
E,215.80,2031-03-05,Transaction 33,33,33,33,33
I,380.40,2031-05-22,Transaction 34,34,34,34,34
E,295.99,2031-08-30,Transaction 35,35,35,35,35
I,410.50,2031-11-27,Transaction 36,36,36,36,36
E,285.67,2032-02-14,Transaction 37,37,37,37,37
I,530.75,2032-05-06,Transaction 38,38,38,38,38
E,255.90,2032-07-18,Transaction 39,39,39,39,39
I,480.60,2032-10-29,Transaction 40,40,40,40,40
E,298.77,2033-01-11,Transaction 41,41,41,41,41
I,550.22,2033-03-24,Transaction 42,42,42,42,42
E,375.33,2033-06-15,Transaction 43,43,43,43,43
I,495.50,2033-09-10,Transaction 44,44,44,44,44
E,315.28,2034-01-22,Transaction 45,45,45,45,45
I,470.15,2034-04-30,Transaction 46,46,46,46,46
E,350.80,2034-07-18,Transaction 47,47,47,47,47
I,530.99,2034-10-05,Transaction 48,48,48,48,48
E,290.12,2035-01-20,Transaction 49,49,49,49,49
I,580.30,2035-04-15,Transaction 50,50,50,50,50
